version,numberOfThreads,nx=512,nx=1024,nx=2048
serial,1,0.0402737,0.0578281,0.0820855
vetorização,1,0.0402737,0.0578281,0.0820855
paralelismo,1,0.0402737,0.0578281,0.0820855
paralelismo,2,0.0402737,0.0578281,0.0820855
paralelismo,3,0.0402737,0.0578281,0.0820855
paralelismo,4,0.040274,0.0578281,0.0820855
paralelismo+vetorização,1,0.0402737,0.0578281,0.0820855
paralelismo+vetorização,2,0.0402737,0.0578281,0.0820855
paralelismo+vetorização,3,0.0402737,0.0578281,0.0820855
paralelismo+vetorização,4,0.0402741,0.0578281,0.0820855